trip_id,route_id,stop_id,arrival_time,departure_time,stop_sequence
5212774,7928,4015,07:09:00,07:09:00,4
5212774,7928,6294,07:10:08,07:10:08,5
5212774,7928,6290,07:11:21,07:11:21,6
5212774,7928,6314,07:12:00,07:12:00,7
5212774,7928,6307,07:12:47,07:12:47,8
5212774,7928,6302,07:13:44,07:13:44,9
5212774,7928,6299,07:14:29,07:14:29,10
5212774,7928,6316,07:15:09,07:15:09,11
5212774,7928,6312,07:16:00,07:16:00,12
5212774,7928,6315,07:17:08,07:17:08,13
5212774,7928,6301,07:18:05,07:18:05,14
5212774,7928,6304,07:18:44,07:18:44,15
5212774,7928,6300,07:19:26,07:19:26,16
5212774,7928,6303,07:20:17,07:20:17,17
5212774,7928,6311,07:21:00,07:21:00,18
5212774,7928,6317,07:21:31,07:21:31,19
5212774,7928,6297,07:22:18,07:22:18,20
5212774,7928,6298,07:23:15,07:23:15,21
5212774,7928,6309,07:23:52,07:23:52,22
5212774,7928,6305,07:24:31,07:24:31,23
5212774,7928,6291,07:25:16,07:25:16,24
5212774,7928,6319,07:26:00,07:26:00,25
5212774,7928,6295,07:27:00,07:27:00,26
5212774,7928,6486,07:27:50,07:27:50,29
5212774,7928,3884,07:28:36,07:28:36,30
5212774,7928,3858,07:29:49,07:29:49,31
5212774,7928,3847,07:30:48,07:30:48,32
5212774,7928,3892,07:32:00,07:32:00,33
5212774,7928,3875,07:33:00,07:33:00,34
5212774,7928,3896,07:34:06,07:34:06,35
5212774,7928,3879,07:34:44,07:34:44,36
5212774,7928,3852,07:35:16,07:35:16,37
5212774,7928,3845,07:36:11,07:36:11,38
5212774,7928,3822,07:37:04,07:37:04,39
5212774,7928,3824,07:38:00,07:38:00,40
5212774,7928,7160,07:38:30,07:38:30,43
5212774,7928,3828,07:39:08,07:39:08,44
5212774,7928,3831,07:39:35,07:39:35,45
5212774,7928,3886,07:40:13,07:40:13,46
5212774,7928,3833,07:40:45,07:40:45,47
5212774,7928,3835,07:41:37,07:41:37,48
5212774,7928,3837,07:42:29,07:42:29,49
5212774,7928,3839,07:43:20,07:43:20,50
5212774,7928,3841,07:44:12,07:44:12,51
5212774,7928,3843,07:44:54,07:44:54,52
5212774,7928,3547,07:45:29,07:45:29,53
5212774,7928,3549,07:45:58,07:45:58,54
5212774,7928,3550,07:46:36,07:46:36,55
5212774,7928,4277,07:47:00,07:47:00,56
