stop_id,stop_name,stop_lat,stop_lon,stop_number,short_stop_name
2052,"Zürich, Glattwiesen",47.4016897222222,8.58158833333333,998,GLAT
2052,"Zürich, Glattwiesen",47.4016897222222,8.58158833333333,998,GLAT
2454,"Zürich, Glaubtenstrasse",47.4148152777778,8.518725,1000,GLAU
2454,"Zürich, Glaubtenstrasse",47.4148152777778,8.518725,1000,GLAU
2454,"Zürich, Glaubtenstrasse",47.4148152777778,8.518725,1000,GLAU
2454,"Zürich, Glaubtenstrasse",47.4148152777778,8.518725,1000,GLAU
2454,"Zürich, Glaubtenstrasse",47.4148152777778,8.518725,1000,GLAU
2454,"Zürich, Glaubtenstrasse",47.4148152777778,8.518725,1000,GLAU
2715,"Gockhausen, Dorf",47.3820986111111,8.59777611111111,1006,GDOR
2715,"Gockhausen, Dorf",47.3820986111111,8.59777611111111,1006,GDOR
2718,"Zürich, Goldackerweg",47.3722433333333,8.4872625,1007,GOLD
2718,"Zürich, Goldackerweg",47.3722433333333,8.4872625,1007,GOLD
2746,"Küsnacht ZH, Goldbacherstrasse",47.3295880555556,8.58021611111111,1011,GOBA
2746,"Küsnacht ZH, Goldbacherstrasse",47.3295880555556,8.58021611111111,1011,GOBA
701,"Zürich, Goldbrunnenplatz",47.3702830555556,8.5136125,1012,GOLP
701,"Zürich, Goldbrunnenplatz",47.3702830555556,8.5136125,1012,GOLP
701,"Zürich, Goldbrunnenplatz",47.3702830555556,8.5136125,1012,GOLP
701,"Zürich, Goldbrunnenplatz",47.3702830555556,8.5136125,1012,GOLP
2747,"Zollikon, Goldhaldenplatz",47.3348213888889,8.57768166666667,1013,GOHA
2747,"Zollikon, Goldhaldenplatz",47.3348213888889,8.57768166666667,1013,GOHA
1526,"Kilchberg ZH, Gottlieb-Binder",47.3228744444444,8.54263444444445,1018,GOBI
1526,"Kilchberg ZH, Gottlieb-Binder",47.3228744444444,8.54263444444445,1018,GOBI
2770,"Zürich, Grimselstrasse",47.387045,8.48971277777778,1026,GRIM
2770,"Zürich, Grimselstrasse",47.387045,8.48971277777778,1026,GRIM
2010,"Geroldswil, Grindlen",47.4180208333333,8.41516944444444,1028,GRIN
2010,"Geroldswil, Grindlen",47.4180208333333,8.41516944444444,1028,GRIN
2021,"Dietikon, Grünau",47.4114558333333,8.40431611111111,1039,GRAU
2021,"Dietikon, Grünau",47.4114558333333,8.40431611111111,1039,GRAU
2544,"Zürich, Grünaustrasse",47.395505,8.48921722222222,1041,GRUN
2544,"Zürich, Grünaustrasse",47.395505,8.48921722222222,1041,GRUN
2544,"Zürich, Grünaustrasse",47.395505,8.48921722222222,1041,GRUN
2544,"Zürich, Grünaustrasse",47.395505,8.48921722222222,1041,GRUN
2040,"Dübendorf, Grüzenstrasse",47.3915638888889,8.61713583333333,1054,GRUZ
2045,"Zürich, Guggachstrasse",47.3955983333333,8.5400475,1061,GUGG
2045,"Zürich, Guggachstrasse",47.3955983333333,8.5400475,1061,GUGG
2857,"Zürich, Gutstrasse",47.3717894444444,8.50638694444445,1073,GUTS
2857,"Zürich, Gutstrasse",47.3717894444444,8.50638694444445,1073,GUTS
2859,"Zumikon, Gössikon",47.3317222222222,8.61405444444445,1075,GOES
2859,"Zumikon, Gössikon",47.3317222222222,8.61405444444445,1075,GOES
2529,"Zürich, Güterbahnhof",47.3804180555556,8.51967055555555,1076,GUET
2529,"Zürich, Güterbahnhof",47.3804180555556,8.51967055555555,1076,GUET
2338,"Dietikon, Hagackerstrasse",47.4174486111111,8.39648694444444,1091,HAGA
2338,"Dietikon, Hagackerstrasse",47.4174486111111,8.39648694444444,1091,HAGA
2339,"Oetwil an der Limmat, Halde",47.4255791666667,8.39981388888889,1094,OHAL
2339,"Oetwil an der Limmat, Halde",47.4255791666667,8.39981388888889,1094,OHAL
2258,"Zürich, Haldenbach",47.3801125,8.54812361111111,1098,HALB
2258,"Zürich, Haldenbach",47.3801125,8.54812361111111,1098,HALB
